"depth_top_mm" "BestAD_CRS" "MinAD_CRS" "MaxAD_CRS" "SAR_CRS_mm.yr" "SAR_CRS_err_mm.yr"
365 1941.23043202198 1930.94266987093 1951.51819417302 3.28633023735498 2.7393476592119
370 1941.1471483852 1930.8370463135 1951.45725045691 3.02558385912062 2.6411289838876
375 1941.06386474843 1930.73142275606 1951.3963067408 2.76483748088625 2.5429103085633
380 1940.98058111165 1930.62579919862 1951.33536302469 2.50409110265189 2.44469163323901
385 1940.89729747488 1930.52017564118 1951.27441930858 2.60122695907569 2.59383342554111
390 1940.81401383811 1930.41455208375 1951.21347559247 2.6983628154995 2.7429752178432
395 1940.73073020133 1930.30892852631 1951.15253187635 2.7954986719233 2.8921170101453
400 1940.64744656456 1930.20330496887 1951.09158816024 2.8926345283471 3.0412588024474
405 1940.56416292778 1930.09768141144 1951.03064444413 2.43982133892948 2.50013874721609
410 1940.48087929101 1929.992057854 1950.96970072802 1.98700814951186 1.95901869198477
415 1940.39759565423 1929.88643429656 1950.90875701191 1.53419496009425 1.41789863675346
420 1940.31431201746 1929.78081073913 1950.84781329579 1.08138177067663 0.876778581522147
425 1939.42043678508 1928.77453349714 1950.06634007303 0.9664504940523 0.842914145283816
430 1938.52656155271 1927.76825625515 1949.28486685026 0.851519217427975 0.809049709045485
435 1937.63268632033 1926.76197901316 1948.50339362749 0.736587940803649 0.775185272807153
440 1936.73881108795 1925.75570177118 1947.72192040473 0.621656664179323 0.741320836568822
