soundingID;xcoord;ycoord;depth
S281;-55.76329083;46.87084664;0
S282;-55.76328112;46.87085291;0
S283;-55.76326047;46.8708647;0
S284;-55.76323713;46.87086507;0
S285;-55.76322066;46.87086237;0
S286;-55.76320333;46.87086249;0
S287;-55.7631849;46.87086347;0
S288;-55.76316302;46.87086139;0
S289;-55.7631323;46.87086151;0
S290;-55.76310256;46.87086028;0
S291;-55.76307835;46.87086114;0
S292;-55.7630292;46.87086028;0
S293;-55.76300438;46.87087036;0
S294;-55.76298594;46.87088117;0
S295;-55.76296849;46.87088904;0
S296;-55.76295719;46.87089788;0
S297;-55.76295104;46.87090698;0
S298;-55.76294736;46.87091705;0
S299;-55.76291368;46.87091558;0
S300;-55.76291123;46.87090132;0
S301;-55.76291246;46.87088142;0
S302;-55.76291024;46.87086864;0
S303;-55.76290533;46.87085487;0
S304;-55.76289402;46.87083447;0
S305;-55.76288517;46.87082145;0
S306;-55.76287657;46.87080965;0
S307;-55.76287411;46.87079392;0
S308;-55.76287387;46.8707745;0
S309;-55.76287682;46.87075877;0
S310;-55.76287977;46.87074575;0
S311;-55.76288345;46.8707369;0
S312;-55.76288247;46.87071871;0
S313;-55.76289009;46.87070495;0
S314;-55.76289304;46.87069315;0
S315;-55.76289353;46.87068479;0
S316;-55.76289304;46.87067324;0
S317;-55.76289328;46.87066169;0
S318;-55.76289771;46.87064621;0
S319;-55.76290533;46.87063416;0
S320;-55.7629068;46.87062679;0
S321;-55.76291024;46.87061032;0
S322;-55.76291344;46.87059091;0
S323;-55.76291639;46.8705742;0
S324;-55.76290656;46.87056117;0
S325;-55.76289574;46.8705533;0
S326;-55.76288345;46.87054323;0
S327;-55.76286379;46.87053094;0
S328;-55.7628515;46.87052111;0
S329;-55.76283848;46.87051496;0
S330;-55.76283798;46.87050046;0
S331;-55.76283504;46.87048154;0
S332;-55.76283135;46.87047023;0
S333;-55.76282226;46.87045549;0
S334;-55.76281586;46.87044344;0
S335;-55.76280628;46.87043238;0
S336;-55.76279497;46.87042329;0
S337;-55.76278391;46.87041518;0
S338;-55.76277482;46.87040903;0
S339;-55.76275934;46.8703906;0
S340;-55.76275368;46.87038421;0
S341;-55.76274557;46.87037634;0
S342;-55.76273845;46.87036135;0
S343;-55.76273402;46.87033505;0
S344;-55.76272198;46.87031638;0
S345;-55.76271215;46.87029745;0
S346;-55.76270477;46.8702832;0
S347;-55.76269199;46.87026747;0
S348;-55.76268511;46.8702537;0
S349;-55.76267823;46.87024043;0
S350;-55.76268462;46.87022323;0
S351;-55.76268192;46.87020823;0
S352;-55.76267676;46.87019152;0
S353;-55.76266619;46.87017653;0
S354;-55.76265341;46.87016498;0
S355;-55.76264702;46.87015367;0
S356;-55.76264136;46.87013794;0
S357;-55.76262465;46.8701227;0
S358;-55.76261974;46.87011066;0
S359;-55.762619;46.87009616;0
S360;-55.76261507;46.87008313;0
S361;-55.76261089;46.87007232;0
S362;-55.7626045;46.87006249;0
S363;-55.76259688;46.87005143;0
S364;-55.76259516;46.87003988;0
S365;-55.76258803;46.87003078;0
S366;-55.76258041;46.87001677;0
S367;-55.76257648;46.87000743;0
S368;-55.76257058;46.86999711;0
S369;-55.76256689;46.86998728;0
S370;-55.76255092;46.86996836;0
S371;-55.76254158;46.86996123;0
S372;-55.76253887;46.86995164;0
S373;-55.76253003;46.86994181;0
S374;-55.76251553;46.86993788;0
S375;-55.76249341;46.86993739;0
S376;-55.76247718;46.8699364;0
S377;-55.76246244;46.86993272;0
S378;-55.76245384;46.86991969;0
S379;-55.76244523;46.86990445;0
S380;-55.76243516;46.869887;0
S381;-55.76242852;46.86987471;0
S382;-55.76241623;46.86985579;0
S383;-55.76240198;46.86983564;0
S384;-55.7623892;46.86982482;0
S385;-55.76238182;46.86981597;0
S386;-55.76237076;46.86980516;0
S387;-55.76235282;46.8697914;0
S388;-55.7623307;46.86977468;0
S389;-55.76231227;46.86975945;0
S390;-55.76229998;46.86974839;0
S391;-55.76228081;46.86973364;0
S392;-55.7622695;46.86972282;0
S393;-55.76225328;46.8697157;0
S394;-55.76223755;46.86970415;0
S395;-55.76222576;46.86968965;0
S396;-55.76221863;46.86967809;0
S397;-55.76221297;46.86966359;0
S398;-55.7622088;46.86964885;0
S399;-55.76219552;46.86964123;0
S400;-55.7621793;46.86962501;0
S401;-55.7621594;46.86961542;0
S402;-55.76214367;46.86960289;0
S403;-55.76213089;46.8695906;0
S404;-55.76212204;46.86957683;0
S405;-55.76210655;46.8695643;0
S406;-55.76208615;46.86954341;0
S407;-55.76206305;46.8695235;0
S408;-55.76204118;46.86949646;0
S409;-55.76202692;46.86948418;0
S410;-55.76200972;46.86946918;0
S411;-55.76199571;46.86945714;0
S412;-55.76198268;46.86944239;0
S413;-55.7619672;46.86942838;0
S414;-55.76195171;46.86941585;0
S415;-55.7619441;46.86939791;0
S416;-55.76193746;46.86938144;0
S417;-55.76193181;46.86936891;0
S418;-55.76192566;46.86935662;0
S419;-55.76192443;46.86932688;0
S420;-55.76192591;46.86931041;0
S421;-55.76192886;46.86929124;0
S422;-55.76193131;46.86927723;0
S423;-55.76193992;46.86926716;0
S424;-55.76195073;46.86926003;0
S425;-55.7619699;46.8692556;0
S426;-55.76200038;46.86924872;0
S427;-55.76202938;46.86924479;0
S428;-55.76205666;46.86923914;0
S429;-55.7620719;46.86923668;0
S430;-55.76210582;46.86922709;0
S431;-55.76213457;46.8692207;0
S432;-55.76215497;46.86921235;0
S433;-55.76219651;46.86920497;0
S434;-55.76221494;46.86920276;0
S435;-55.76223092;46.86919834;0
S436;-55.76228695;46.86920129;0
S437;-55.76232579;46.86920276;0
S438;-55.76236659;46.86921063;0
S439;-55.76238944;46.86921407;0
S440;-55.76244597;46.86922414;0
S441;-55.76248382;46.8692298;0
S442;-55.76250717;46.86923938;0
S443;-55.76253937;46.86924872;0
S444;-55.76255878;46.86925413;0
S445;-55.76261851;46.8692556;0
S446;-55.76266471;46.86926494;0
S447;-55.76270551;46.86927355;0
S448;-55.76272935;46.86927969;0
S449;-55.76277359;46.86929001;0
S450;-55.76284921;46.86932708;0
S451;-55.76288424;46.86933864;0
S452;-55.76291892;46.86935866;0
S453;-55.76293635;46.86937385;0
S454;-55.7629826;46.86939783;0
S455;-55.76299762;46.86940629;0
S456;-55.76302782;46.86943753;0
S457;-55.76304784;46.86946203;0
S458;-55.76307924;46.86948843;0
S459;-55.7630965;46.86949723;0
S460;-55.76311307;46.86950241;0
S461;-55.76312584;46.86951553;0
S462;-55.76314482;46.86952657;0
S463;-55.76315759;46.86952916;0
S464;-55.76317329;46.86952588;0
S465;-55.76318313;46.86951639;0
S466;-55.76318606;46.86950707;0
S467;-55.76317933;46.86949223;0
S468;-55.76321195;46.86947049;0
S469;-55.76322403;46.86948067;0
S470;-55.7632349;46.8694924;0
S471;-55.76324163;46.86950897;0
S472;-55.76324802;46.86952329;0
S473;-55.76326441;46.86952968;0
S474;-55.76328771;46.86953313;0
S475;-55.76330479;46.86952968;0
S476;-55.76332775;46.86952813;0
S477;-55.76337693;46.86953589;0
S478;-55.76342784;46.86954469;0
S479;-55.76346373;46.86954538;0
S480;-55.76351533;46.86952899;0
S481;-55.76358143;46.86953744;0
S482;-55.76365011;46.86955159;0
S483;-55.76371707;46.86957058;0
