"depth_top_mm" "BestAD_CRS" "MinAD_CRS" "MaxAD_CRS" "SAR_CRS_mm.yr" "SAR_CRS_err_mm.yr"
390 1919.22462487806 1895.56777319586 1942.88147656027 0.296983371747367 0.314882048489237
395 1919.22462487806 1895.56777319586 1942.88147656027 0.313482447955554 0.332375495627528
400 1919.22462487806 1895.56777319586 1942.88147656027 0.329981524163741 0.349868942765819
405 1919.22462487806 1895.56777319586 1942.88147656027 0.346480600371928 0.36736238990411
410 1919.22462487806 1895.56777319586 1942.88147656027 0.362979676580115 0.384855837042401
415 1919.22462487806 1895.56777319586 1942.88147656027 0.379478752788302 0.402349284180692
420 1919.22462487806 1895.56777319586 1942.88147656027 0.395977828996489 0.419842731318983
425 1919.22462487806 1895.56777319586 1942.88147656027 0.412476905204676 0.437336178457274
430 1919.22462487806 1895.56777319586 1942.88147656027 0.428975981412863 0.454829625595565
435 1919.22462487806 1895.56777319586 1942.88147656027 0.44547505762105 0.472323072733856
440 1919.22462487806 1895.56777319586 1942.88147656027 0.461974133829237 0.489816519872147
445 1919.22462487806 1895.56777319586 1942.88147656027 0.478473210037424 0.507309967010438
450 1919.22462487806 1895.56777319586 1942.88147656027 0.494972286245611 0.524803414148729
455 1919.22462487806 1895.56777319586 1942.88147656027 0.511471362453798 0.54229686128702
460 1919.22462487806 1895.56777319586 1942.88147656027 0.527970438661985 0.559790308425311
465 1917.34872492285 1892.32135994836 1942.37608989734 0.871047117601984 2.26906208579084
470 1915.47282496763 1889.07494670086 1941.87070323441 1.21412379654198 3.97833386315636
475 1913.59692501242 1885.82853345336 1941.36531657148 1.55720047548198 5.68760564052189
480 1911.7210250572 1882.58212020586 1940.85992990854 1.90027715442198 7.39687741788741
485 1911.7210250572 1882.58212020586 1940.85992990854 1.58062203186132 5.82429338935206
490 1911.7210250572 1882.58212020586 1940.85992990854 1.26096690930065 4.25170936081672
495 1911.7210250572 1882.58212020586 1940.85992990854 0.941311786739988 2.67912533228137
500 1911.7210250572 1882.58212020586 1940.85992990854 0.621656664179323 1.10654130374602
